i_d,n_espacio,area,tipo_nl,tipo_2,com_dir,asesor_ext,com_tec,coordinadxr,secret,particip,financia,period,colab,invest,docenc,difus,interdis,intercam,vincula,espacio,editorial,coord,contrata ,clases,clases_par,clases_dis
40,Cátedra Extraordinaria Inés Amor en Gestión Cultural,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,colab,investiga,no_docen,difusión ,no_interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,seis ,
41,Cátedra Extraordinaria Ingmar Bergman en Cine y Teatro (Cátedra Extraordinaria “Ingmar Bergman”),humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,no_colab,no_investiga,docen,difusión ,interdisc,intercamb,no_vincula,no_espac,no_edito,no_coord,no_contrata ,seis ,,seis 
42,Cátedra Extraordinaria Juana Gutiérrez Haces de Arte Virreinal Iberoamericano (Cátedra Extraordinaria “Juana Gutiérrez Haces”),humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,no_colab,investiga,docen,difusión ,no_interdisc,intercamb,no_vincula,no_espac,edito,no_coord,no_contrata ,seis ,,seis 
43,"Cátedra Extraordinaria Mathias Goeritz de Arte y Arquitectura, (Cátedra Extraordinaria ""Mathias Goeritz"")",humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2021-2024,no_colab,investiga,no_docen,difusión ,no_interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,seis ,
44,"Cátedra Extraordinaria Max Aub, Transdisciplina en Arte y Tecnología ",humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2021-2024,colab,no_investiga,no_docen,difusión ,interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,,
45,Cátedra Extraordinaria Nelson Mandela de Derechos Humanos en las Artes ,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,asesor_ext,no_com_tec,coordinadxr,secretaría ,1 a 5,mixta,2021-2024,colab,investiga,no_docen,difusión ,no_interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,seis ,seis 
46,Cátedra Extraordinaria Rosario Castellanos de Arte y Género,humanidades ,Cátedra extraordinaria ,CATEDRA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,mixta,2021-2024,colab,investiga,no_docen,difusión ,no_interdisc,intercamb,no_vincula,espac,no_edito,no_coord,no_contrata ,seis ,seis ,
47,Programa Universitario de Alimentación Sostenible (PUAS),ciencias ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,16 a 20,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,dos
48,Programa Universitario de Estudios Interdisciplinarios del Suelo (PUEIS),ciencias ,Programa universitario ,PROGRAMA,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,11 a 15,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,
49,Programa Universitario de Gobierno (PUGOB),humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,no_coord,no_contrata ,dos,,
50,Programa Universitario de Investigación sobre Riesgos Epidemiológicos y Emergentes (PUIREE),ciencias ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2021-2024,no_colab,investiga,docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,,
51,"Seminario Universitario de Estudios sobre Democracia, Defensa, Dimensiones de la Seguridad e Inteligencia (SUEDDSI)",humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,16 a 20,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,,
52,Seminario Universitario de Estudios sobre el Tiempo Social (SUETIS),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,6 a 10,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,no_vincula,no_espac,edito,no_coord,no_contrata ,uno ,uno ,
53,Seminario Universitario de Evolución (SUE),ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2021-2024,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,uno ,
54,"Seminario Universitario de Historia, Filosofía, y Estudios de las Ciencias y la Medicina (SUHFECIM)",humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,11 a 15,UNAM ,2021-2024,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,uno ,
55,Seminario Universitario de Problemas Científicos y Filosóficos (Seminario),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,1 a 5,UNAM ,2021-2024,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,no_coord,no_contrata ,tres,,
56,Seminario Universitario Interdisciplinario de Estudios Rurales (SUIER),humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,secretaría ,16 a 20,UNAM ,2021-2024,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,uno ,,
57,Seminario Universitario Interdisciplinario en Ciencias de la Visión (SUICV),ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,11 a 15,UNAM ,2021-2024,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,dos,,
58,Centro de Ciencias de la Complejidad ,ciencias ,Centro ,CENTRO ,com_dir,asesor_ext,com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,intercamb,vincula,espac,no_edito,no_coord,contrata ,cuatro,cuatro,cuatro
